id,move_id,stamina_loss_scaler,name,power,duration,energy_delta,type,total_damage,created_at
1,200,0.01,Fury Cutter,3,400,6,Bug,1200,2020-09-04
2,201,0.01,Bug Bite,5,500,6,Bug,2500,2020-09-04
3,202,0.01,Bite,6,500,4,Dark,3000,2020-09-04
4,203,0.01,Sucker Punch,7,700,8,Dark,4900,2020-09-04
5,204,0.01,Dragon Breath,6,500,4,Dragon,3000,2020-09-04
6,205,0.01,Thunder Shock,5,600,8,Electric,3000,2020-09-04
7,206,0.01,Spark,6,700,9,Electric,4200,2020-09-04
8,207,0.01,Low Kick,6,600,6,Fighting,3600,2020-09-04
9,208,0.01,Karate Chop,8,800,10,Fighting,6400,2020-09-04
10,209,0.01,Ember,10,1000,10,Fire,10000,2020-09-04
11,210,0.01,Wing Attack,8,800,9,Flying,6400,2020-09-04
12,211,0.01,Peck,10,1000,10,Flying,10000,2020-09-04
13,212,0.01,Lick,5,500,6,Ghost,2500,2020-09-04
14,213,0.01,Shadow Claw,9,700,6,Ghost,6300,2020-09-04
15,214,0.01,Vine Whip,7,600,6,Grass,4200,2020-09-04
16,215,0.01,Razor Leaf,13,1000,7,Grass,13000,2020-09-04
17,216,0.01,Mud Shot,5,600,7,Ground,3000,2020-09-04
18,217,0.01,Ice Shard,12,1200,12,Ice,14400,2020-09-04
19,218,0.01,Frost Breath,10,900,8,Ice,9000,2020-09-04
20,219,0.01,Quick Attack,8,800,10,Normal,6400,2020-09-04
21,220,0.01,Scratch,6,500,4,Normal,3000,2020-09-04
22,221,0.01,Tackle,5,500,5,Normal,2500,2020-09-04
23,222,0.01,Pound,7,600,6,Normal,4200,2020-09-04
24,223,0.01,Cut,5,500,5,Normal,2500,2020-09-04
25,224,0.01,Poison Jab,10,800,7,Poison,8000,2020-09-04
26,225,0.01,Acid,9,800,8,Poison,7200,2020-09-04
27,226,0.01,Psycho Cut,5,600,8,Psychic,3000,2020-09-04
28,227,0.01,Rock Throw,12,900,7,Rock,10800,2020-09-04
29,228,0.01,Metal Claw,8,700,7,Steel,5600,2020-09-04
30,229,0.01,Bullet Punch,9,900,10,Steel,8100,2020-09-04
31,230,0.01,Water Gun,5,500,5,Water,2500,2020-09-04
32,231,0.01,Splash,0,1730,20,Water,0,2020-09-04
33,233,0.01,Mud Slap,18,1400,12,Ground,25200,2020-09-04
34,234,0.01,Zen Headbutt,12,1100,10,Psychic,13200,2020-09-04
35,235,0.01,Confusion,20,1600,15,Psychic,32000,2020-09-04
36,236,0.01,Poison Sting,5,600,7,Poison,3000,2020-09-04
37,237,0.01,Bubble,12,1200,14,Water,14400,2020-09-04
38,238,0.01,Feint Attack,10,900,9,Dark,9000,2020-09-04
39,239,0.01,Steel Wing,11,800,6,Steel,8800,2020-09-04
40,240,0.01,Fire Fang,12,900,8,Fire,10800,2020-09-04
41,241,0.01,Rock Smash,15,1300,10,Fighting,19500,2020-09-04
42,242,0.01,Transform,0,2230,0,Normal,0,2020-09-04
43,243,0.01,Counter,12,900,8,Fighting,10800,2020-09-04
44,244,0.01,Powder Snow,6,1000,15,Ice,6000,2020-09-04
45,249,0.01,Charge Beam,8,1100,15,Electric,8800,2020-09-04
46,250,0.01,Volt Switch,14,1600,21,Electric,22400,2020-09-04
47,253,0.01,Dragon Tail,15,1100,9,Dragon,16500,2020-09-04
48,255,0.01,Air Slash,14,1200,10,Flying,16800,2020-09-04
49,260,0.01,Infestation,10,1100,14,Bug,11000,2020-09-04
50,261,0.01,Struggle Bug,15,1500,15,Bug,22500,2020-09-04
51,263,0.01,Astonish,8,1100,14,Ghost,8800,2020-09-04
52,264,0.01,Hex,10,1200,16,Ghost,12000,2020-09-04
53,266,0.01,Iron Tail,15,1100,7,Steel,16500,2020-09-04
54,269,0.01,Fire Spin,14,1100,10,Fire,15400,2020-09-04
55,271,0.01,Bullet Seed,8,1100,14,Grass,8800,2020-09-04
56,274,0.01,Extrasensory,12,1100,12,Psychic,13200,2020-09-04
57,278,0.01,Snarl,12,1100,14,Dark,13200,2020-09-04
58,281,0.01,Hidden Power,15,1500,15,Normal,22500,2020-09-04
59,282,0.01,Take Down,8,1200,10,Normal,9600,2020-09-04
60,283,0.01,Waterfall,16,1200,8,Water,19200,2020-09-04
61,287,0.01,Yawn,0,1700,15,Normal,0,2020-09-04
62,291,0.01,Present,5,1300,20,Normal,6500,2020-09-04
63,297,0.01,Smack Down,16,1200,8,Rock,19200,2020-09-04
64,320,0.01,Charm,20,1500,11,Fairy,30000,2020-09-04
65,325,0.01,Lock On,1,300,6,Normal,300,2020-09-04
66,326,0.01,Thunder Fang,12,1200,16,Electric,14400,2020-09-04
67,327,0.01,Ice Fang,12,1500,20,Ice,18000,2020-09-04
