id,stamina_loss_scaler,name,power,duration,energy_delta,type,total_damage,created_at,move_id
1,0.01,Fury Cutter,3,400,6,Bug,1200,02/09/2020,200
2,0.01,Bug Bite,5,500,6,Bug,2500,02/09/2020,201
3,0.01,Bite,6,500,4,Dark,3000,02/09/2020,202
4,0.01,Sucker Punch,7,700,8,Dark,4900,02/09/2020,203
5,0.01,Dragon Breath,6,500,4,Dragon,3000,02/09/2020,204
6,0.01,Thunder Shock,5,600,8,Electric,3000,02/09/2020,205
7,0.01,Spark,6,700,9,Electric,4200,02/09/2020,206
8,0.01,Low Kick,6,600,6,Fighting,3600,02/09/2020,207
9,0.01,Karate Chop,8,800,10,Fighting,6400,02/09/2020,208
10,0.01,Ember,10,1000,10,Fire,10000,02/09/2020,209
11,0.01,Wing Attack,8,800,9,Flying,6400,02/09/2020,210
12,0.01,Peck,10,1000,10,Flying,10000,02/09/2020,211
13,0.01,Lick,5,500,6,Ghost,2500,02/09/2020,212
14,0.01,Shadow Claw,9,700,6,Ghost,6300,02/09/2020,213
15,0.01,Vine Whip,7,600,6,Grass,4200,02/09/2020,214
16,0.01,Razor Leaf,13,1000,7,Grass,13000,02/09/2020,215
17,0.01,Mud Shot,5,600,7,Ground,3000,02/09/2020,216
18,0.01,Ice Shard,12,1200,12,Ice,14400,02/09/2020,217
19,0.01,Frost Breath,10,900,8,Ice,9000,02/09/2020,218
20,0.01,Quick Attack,8,800,10,Normal,6400,02/09/2020,219
21,0.01,Scratch,6,500,4,Normal,3000,02/09/2020,220
22,0.01,Tackle,5,500,5,Normal,2500,02/09/2020,221
23,0.01,Pound,7,600,6,Normal,4200,02/09/2020,222
24,0.01,Cut,5,500,5,Normal,2500,02/09/2020,223
25,0.01,Poison Jab,10,800,7,Poison,8000,02/09/2020,224
26,0.01,Acid,9,800,8,Poison,7200,02/09/2020,225
27,0.01,Psycho Cut,5,600,8,Psychic,3000,02/09/2020,226
28,0.01,Rock Throw,12,900,7,Rock,10800,02/09/2020,227
29,0.01,Metal Claw,8,700,7,Steel,5600,02/09/2020,228
30,0.01,Bullet Punch,9,900,10,Steel,8100,02/09/2020,229
31,0.01,Water Gun,5,500,5,Water,2500,02/09/2020,230
32,0.01,Splash,0,1730,20,Water,0,02/09/2020,231
33,0.01,Mud Slap,18,1400,12,Ground,25200,02/09/2020,233
34,0.01,Zen Headbutt,12,1100,10,Psychic,13200,02/09/2020,234
35,0.01,Confusion,20,1600,15,Psychic,32000,02/09/2020,235
36,0.01,Poison Sting,5,600,7,Poison,3000,02/09/2020,236
37,0.01,Bubble,12,1200,14,Water,14400,02/09/2020,237
38,0.01,Feint Attack,10,900,9,Dark,9000,02/09/2020,238
39,0.01,Steel Wing,11,800,6,Steel,8800,02/09/2020,239
40,0.01,Fire Fang,12,900,8,Fire,10800,02/09/2020,240
41,0.01,Rock Smash,15,1300,10,Fighting,19500,02/09/2020,241
42,0.01,Transform,0,2230,0,Normal,0,02/09/2020,242
43,0.01,Counter,12,900,8,Fighting,10800,02/09/2020,243
44,0.01,Powder Snow,6,1000,15,Ice,6000,02/09/2020,244
45,0.01,Charge Beam,8,1100,15,Electric,8800,02/09/2020,249
46,0.01,Volt Switch,14,1600,21,Electric,22400,02/09/2020,250
47,0.01,Dragon Tail,15,1100,9,Dragon,16500,02/09/2020,253
48,0.01,Air Slash,14,1200,10,Flying,16800,02/09/2020,255
49,0.01,Infestation,10,1100,14,Bug,11000,02/09/2020,260
50,0.01,Struggle Bug,15,1500,15,Bug,22500,02/09/2020,261
51,0.01,Astonish,8,1100,14,Ghost,8800,02/09/2020,263
52,0.01,Hex,10,1200,16,Ghost,12000,02/09/2020,264
53,0.01,Iron Tail,15,1100,7,Steel,16500,02/09/2020,266
54,0.01,Fire Spin,14,1100,10,Fire,15400,02/09/2020,269
55,0.01,Bullet Seed,8,1100,14,Grass,8800,02/09/2020,271
56,0.01,Extrasensory,12,1100,12,Psychic,13200,02/09/2020,274
57,0.01,Snarl,12,1100,14,Dark,13200,02/09/2020,278
58,0.01,Hidden Power,15,1500,15,Normal,22500,02/09/2020,281
59,0.01,Take Down,8,1200,10,Normal,9600,02/09/2020,282
60,0.01,Waterfall,16,1200,8,Water,19200,02/09/2020,283
61,0.01,Yawn,0,1700,15,Normal,0,02/09/2020,287
62,0.01,Present,5,1300,20,Normal,6500,02/09/2020,291
63,0.01,Smack Down,16,1200,8,Rock,19200,02/09/2020,297
64,0.01,Charm,20,1500,11,Fairy,30000,02/09/2020,320
65,0.01,Lock On,1,300,6,Normal,300,02/09/2020,325
66,0.01,Thunder Fang,12,1200,16,Electric,14400,02/09/2020,326
67,0.01,Ice Fang,12,1500,20,Ice,18000,02/09/2020,327
